requirement,component,risk,test_or_scenario,environment,evidence,status
Page /catalog/gudid,page,render/role/a11y/responsive/console,"WS3 matrix 22×12, responsive-axe 4 widths, journeys",Chromium on the production build,"evidence/ws3/out/matrix-final5.csv, responsive.csv, axe.json, journey logs",PASS
Page /catalog,page,render/role/a11y/responsive/console,"WS3 matrix 22×12, responsive-axe 4 widths, journeys",Chromium on the production build,"evidence/ws3/out/matrix-final5.csv, responsive.csv, axe.json, journey logs",PASS
Page /contracts/[id],page,render/role/a11y/responsive/console,"WS3 matrix 22×12, responsive-axe 4 widths, journeys",Chromium on the production build,"evidence/ws3/out/matrix-final5.csv, responsive.csv, axe.json, journey logs",PASS
Page /contracts,page,render/role/a11y/responsive/console,"WS3 matrix 22×12, responsive-axe 4 widths, journeys",Chromium on the production build,"evidence/ws3/out/matrix-final5.csv, responsive.csv, axe.json, journey logs",PASS
Page /crosses,page,render/role/a11y/responsive/console,"WS3 matrix 22×12, responsive-axe 4 widths, journeys",Chromium on the production build,"evidence/ws3/out/matrix-final5.csv, responsive.csv, axe.json, journey logs",PASS
Page /intelligence/bids,page,render/role/a11y/responsive/console,"WS3 matrix 22×12, responsive-axe 4 widths, journeys",Chromium on the production build,"evidence/ws3/out/matrix-final5.csv, responsive.csv, axe.json, journey logs",PASS
Page /intelligence/extractions/[id],page,render/role/a11y/responsive/console,"WS3 matrix 22×12, responsive-axe 4 widths, journeys",Chromium on the production build,"evidence/ws3/out/matrix-final5.csv, responsive.csv, axe.json, journey logs",PASS
Page /intelligence,page,render/role/a11y/responsive/console,"WS3 matrix 22×12, responsive-axe 4 widths, journeys",Chromium on the production build,"evidence/ws3/out/matrix-final5.csv, responsive.csv, axe.json, journey logs",PASS
Page /notifications,page,render/role/a11y/responsive/console,"WS3 matrix 22×12, responsive-axe 4 widths, journeys",Chromium on the production build,"evidence/ws3/out/matrix-final5.csv, responsive.csv, axe.json, journey logs",PASS
Page /,page,render/role/a11y/responsive/console,"WS3 matrix 22×12, responsive-axe 4 widths, journeys",Chromium on the production build,"evidence/ws3/out/matrix-final5.csv, responsive.csv, axe.json, journey logs",PASS
Page /proposals/[id],page,render/role/a11y/responsive/console,"WS3 matrix 22×12, responsive-axe 4 widths, journeys",Chromium on the production build,"evidence/ws3/out/matrix-final5.csv, responsive.csv, axe.json, journey logs",PASS
Page /proposals,page,render/role/a11y/responsive/console,"WS3 matrix 22×12, responsive-axe 4 widths, journeys",Chromium on the production build,"evidence/ws3/out/matrix-final5.csv, responsive.csv, axe.json, journey logs",PASS
Page /requests/[id],page,render/role/a11y/responsive/console,"WS3 matrix 22×12, responsive-axe 4 widths, journeys",Chromium on the production build,"evidence/ws3/out/matrix-final5.csv, responsive.csv, axe.json, journey logs",PASS
Page /requests/new,page,render/role/a11y/responsive/console,"WS3 matrix 22×12, responsive-axe 4 widths, journeys",Chromium on the production build,"evidence/ws3/out/matrix-final5.csv, responsive.csv, axe.json, journey logs",PASS
Page /requests,page,render/role/a11y/responsive/console,"WS3 matrix 22×12, responsive-axe 4 widths, journeys",Chromium on the production build,"evidence/ws3/out/matrix-final5.csv, responsive.csv, axe.json, journey logs",PASS
Page /settings/integrations,page,render/role/a11y/responsive/console,"WS3 matrix 22×12, responsive-axe 4 widths, journeys",Chromium on the production build,"evidence/ws3/out/matrix-final5.csv, responsive.csv, axe.json, journey logs",PASS
Page /settings,page,render/role/a11y/responsive/console,"WS3 matrix 22×12, responsive-axe 4 widths, journeys",Chromium on the production build,"evidence/ws3/out/matrix-final5.csv, responsive.csv, axe.json, journey logs",PASS
Page /settings/pricing,page,render/role/a11y/responsive/console,"WS3 matrix 22×12, responsive-axe 4 widths, journeys",Chromium on the production build,"evidence/ws3/out/matrix-final5.csv, responsive.csv, axe.json, journey logs",PASS
Component commercial.tsx,ui,render/a11y,"matrix, axe, keyboard",Chromium,evidence/ws3,PASS
Component dev-signin.tsx,ui,render/a11y,"matrix, axe, keyboard",Chromium,evidence/ws3,PASS
Component notifications-bell.tsx,ui,render/a11y,"matrix, axe, keyboard",Chromium,evidence/ws3,PASS
Component sidebar.tsx,ui,render/a11y,"matrix, axe, keyboard",Chromium,evidence/ws3,PASS
Component sign-in.tsx,ui,render/a11y,"matrix, axe, keyboard",Chromium,evidence/ws3,PASS
Component ui.tsx,ui,render/a11y,"matrix, axe, keyboard",Chromium,evidence/ws3,PASS
Model Company,prisma,constraints/migrations,migration chain on empty DB; preflight; constraint tests; ws2/ws4/ws5 DB suites,crosswalk_dbg/ws5_empty,"evidence/logs/04-final-bootstrap.log, evidence/ws5/*",PASS
Model OwnProduct,prisma,constraints/migrations,migration chain on empty DB; preflight; constraint tests; ws2/ws4/ws5 DB suites,crosswalk_dbg/ws5_empty,"evidence/logs/04-final-bootstrap.log, evidence/ws5/*",PASS
Model CompetitorProduct,prisma,constraints/migrations,migration chain on empty DB; preflight; constraint tests; ws2/ws4/ws5 DB suites,crosswalk_dbg/ws5_empty,"evidence/logs/04-final-bootstrap.log, evidence/ws5/*",PASS
Model CompetitorSpec,prisma,constraints/migrations,migration chain on empty DB; preflight; constraint tests; ws2/ws4/ws5 DB suites,crosswalk_dbg/ws5_empty,"evidence/logs/04-final-bootstrap.log, evidence/ws5/*",PASS
Model KnownCross,prisma,constraints/migrations,migration chain on empty DB; preflight; constraint tests; ws2/ws4/ws5 DB suites,crosswalk_dbg/ws5_empty,"evidence/logs/04-final-bootstrap.log, evidence/ws5/*",PASS
Model Pricebook,prisma,constraints/migrations,migration chain on empty DB; preflight; constraint tests; ws2/ws4/ws5 DB suites,crosswalk_dbg/ws5_empty,"evidence/logs/04-final-bootstrap.log, evidence/ws5/*",PASS
Model PriceEntry,prisma,constraints/migrations,migration chain on empty DB; preflight; constraint tests; ws2/ws4/ws5 DB suites,crosswalk_dbg/ws5_empty,"evidence/logs/04-final-bootstrap.log, evidence/ws5/*",PASS
Model Request,prisma,constraints/migrations,migration chain on empty DB; preflight; constraint tests; ws2/ws4/ws5 DB suites,crosswalk_dbg/ws5_empty,"evidence/logs/04-final-bootstrap.log, evidence/ws5/*",PASS
Model RequestLine,prisma,constraints/migrations,migration chain on empty DB; preflight; constraint tests; ws2/ws4/ws5 DB suites,crosswalk_dbg/ws5_empty,"evidence/logs/04-final-bootstrap.log, evidence/ws5/*",PASS
Model MatchCandidate,prisma,constraints/migrations,migration chain on empty DB; preflight; constraint tests; ws2/ws4/ws5 DB suites,crosswalk_dbg/ws5_empty,"evidence/logs/04-final-bootstrap.log, evidence/ws5/*",PASS
Model Setting,prisma,constraints/migrations,migration chain on empty DB; preflight; constraint tests; ws2/ws4/ws5 DB suites,crosswalk_dbg/ws5_empty,"evidence/logs/04-final-bootstrap.log, evidence/ws5/*",PASS
Model LlmCall,prisma,constraints/migrations,migration chain on empty DB; preflight; constraint tests; ws2/ws4/ws5 DB suites,crosswalk_dbg/ws5_empty,"evidence/logs/04-final-bootstrap.log, evidence/ws5/*",PASS
Model LlmGrade,prisma,constraints/migrations,migration chain on empty DB; preflight; constraint tests; ws2/ws4/ws5 DB suites,crosswalk_dbg/ws5_empty,"evidence/logs/04-final-bootstrap.log, evidence/ws5/*",PASS
Model User,prisma,constraints/migrations,migration chain on empty DB; preflight; constraint tests; ws2/ws4/ws5 DB suites,crosswalk_dbg/ws5_empty,"evidence/logs/04-final-bootstrap.log, evidence/ws5/*",PASS
Model UserRole,prisma,constraints/migrations,migration chain on empty DB; preflight; constraint tests; ws2/ws4/ws5 DB suites,crosswalk_dbg/ws5_empty,"evidence/logs/04-final-bootstrap.log, evidence/ws5/*",PASS
Model Account,prisma,constraints/migrations,migration chain on empty DB; preflight; constraint tests; ws2/ws4/ws5 DB suites,crosswalk_dbg/ws5_empty,"evidence/logs/04-final-bootstrap.log, evidence/ws5/*",PASS
Model Gpo,prisma,constraints/migrations,migration chain on empty DB; preflight; constraint tests; ws2/ws4/ws5 DB suites,crosswalk_dbg/ws5_empty,"evidence/logs/04-final-bootstrap.log, evidence/ws5/*",PASS
Model GpoMembership,prisma,constraints/migrations,migration chain on empty DB; preflight; constraint tests; ws2/ws4/ws5 DB suites,crosswalk_dbg/ws5_empty,"evidence/logs/04-final-bootstrap.log, evidence/ws5/*",PASS
Model Opportunity,prisma,constraints/migrations,migration chain on empty DB; preflight; constraint tests; ws2/ws4/ws5 DB suites,crosswalk_dbg/ws5_empty,"evidence/logs/04-final-bootstrap.log, evidence/ws5/*",PASS
Model Contract,prisma,constraints/migrations,migration chain on empty DB; preflight; constraint tests; ws2/ws4/ws5 DB suites,crosswalk_dbg/ws5_empty,"evidence/logs/04-final-bootstrap.log, evidence/ws5/*",PASS
Model ContractScope,prisma,constraints/migrations,migration chain on empty DB; preflight; constraint tests; ws2/ws4/ws5 DB suites,crosswalk_dbg/ws5_empty,"evidence/logs/04-final-bootstrap.log, evidence/ws5/*",PASS
Model ContractCommitment,prisma,constraints/migrations,migration chain on empty DB; preflight; constraint tests; ws2/ws4/ws5 DB suites,crosswalk_dbg/ws5_empty,"evidence/logs/04-final-bootstrap.log, evidence/ws5/*",PASS
Model RebateSchedule,prisma,constraints/migrations,migration chain on empty DB; preflight; constraint tests; ws2/ws4/ws5 DB suites,crosswalk_dbg/ws5_empty,"evidence/logs/04-final-bootstrap.log, evidence/ws5/*",PASS
Model BundleTerm,prisma,constraints/migrations,migration chain on empty DB; preflight; constraint tests; ws2/ws4/ws5 DB suites,crosswalk_dbg/ws5_empty,"evidence/logs/04-final-bootstrap.log, evidence/ws5/*",PASS
Model StandardCost,prisma,constraints/migrations,migration chain on empty DB; preflight; constraint tests; ws2/ws4/ws5 DB suites,crosswalk_dbg/ws5_empty,"evidence/logs/04-final-bootstrap.log, evidence/ws5/*",PASS
Model ExchangeRate,prisma,constraints/migrations,migration chain on empty DB; preflight; constraint tests; ws2/ws4/ws5 DB suites,crosswalk_dbg/ws5_empty,"evidence/logs/04-final-bootstrap.log, evidence/ws5/*",PASS
Model AuditEvent,prisma,constraints/migrations,migration chain on empty DB; preflight; constraint tests; ws2/ws4/ws5 DB suites,crosswalk_dbg/ws5_empty,"evidence/logs/04-final-bootstrap.log, evidence/ws5/*",PASS
Model Competitor,prisma,constraints/migrations,migration chain on empty DB; preflight; constraint tests; ws2/ws4/ws5 DB suites,crosswalk_dbg/ws5_empty,"evidence/logs/04-final-bootstrap.log, evidence/ws5/*",PASS
Model Document,prisma,constraints/migrations,migration chain on empty DB; preflight; constraint tests; ws2/ws4/ws5 DB suites,crosswalk_dbg/ws5_empty,"evidence/logs/04-final-bootstrap.log, evidence/ws5/*",PASS
Model CompetitorPriceObservation,prisma,constraints/migrations,migration chain on empty DB; preflight; constraint tests; ws2/ws4/ws5 DB suites,crosswalk_dbg/ws5_empty,"evidence/logs/04-final-bootstrap.log, evidence/ws5/*",PASS
Model PricingPolicy,prisma,constraints/migrations,migration chain on empty DB; preflight; constraint tests; ws2/ws4/ws5 DB suites,crosswalk_dbg/ws5_empty,"evidence/logs/04-final-bootstrap.log, evidence/ws5/*",PASS
Model Proposal,prisma,constraints/migrations,migration chain on empty DB; preflight; constraint tests; ws2/ws4/ws5 DB suites,crosswalk_dbg/ws5_empty,"evidence/logs/04-final-bootstrap.log, evidence/ws5/*",PASS
Model ProposalLine,prisma,constraints/migrations,migration chain on empty DB; preflight; constraint tests; ws2/ws4/ws5 DB suites,crosswalk_dbg/ws5_empty,"evidence/logs/04-final-bootstrap.log, evidence/ws5/*",PASS
Model Scenario,prisma,constraints/migrations,migration chain on empty DB; preflight; constraint tests; ws2/ws4/ws5 DB suites,crosswalk_dbg/ws5_empty,"evidence/logs/04-final-bootstrap.log, evidence/ws5/*",PASS
Model ScenarioLine,prisma,constraints/migrations,migration chain on empty DB; preflight; constraint tests; ws2/ws4/ws5 DB suites,crosswalk_dbg/ws5_empty,"evidence/logs/04-final-bootstrap.log, evidence/ws5/*",PASS
Model ApprovalRequest,prisma,constraints/migrations,migration chain on empty DB; preflight; constraint tests; ws2/ws4/ws5 DB suites,crosswalk_dbg/ws5_empty,"evidence/logs/04-final-bootstrap.log, evidence/ws5/*",PASS
Model CrosswalkVersion,prisma,constraints/migrations,migration chain on empty DB; preflight; constraint tests; ws2/ws4/ws5 DB suites,crosswalk_dbg/ws5_empty,"evidence/logs/04-final-bootstrap.log, evidence/ws5/*",PASS
Model CrosswalkVersionEntry,prisma,constraints/migrations,migration chain on empty DB; preflight; constraint tests; ws2/ws4/ws5 DB suites,crosswalk_dbg/ws5_empty,"evidence/logs/04-final-bootstrap.log, evidence/ws5/*",PASS
Model ExternalRef,prisma,constraints/migrations,migration chain on empty DB; preflight; constraint tests; ws2/ws4/ws5 DB suites,crosswalk_dbg/ws5_empty,"evidence/logs/04-final-bootstrap.log, evidence/ws5/*",PASS
Model SyncLog,prisma,constraints/migrations,migration chain on empty DB; preflight; constraint tests; ws2/ws4/ws5 DB suites,crosswalk_dbg/ws5_empty,"evidence/logs/04-final-bootstrap.log, evidence/ws5/*",PASS
Model PurchaseRecord,prisma,constraints/migrations,migration chain on empty DB; preflight; constraint tests; ws2/ws4/ws5 DB suites,crosswalk_dbg/ws5_empty,"evidence/logs/04-final-bootstrap.log, evidence/ws5/*",PASS
Model DealOutcome,prisma,constraints/migrations,migration chain on empty DB; preflight; constraint tests; ws2/ws4/ws5 DB suites,crosswalk_dbg/ws5_empty,"evidence/logs/04-final-bootstrap.log, evidence/ws5/*",PASS
Model MatchDecision,prisma,constraints/migrations,migration chain on empty DB; preflight; constraint tests; ws2/ws4/ws5 DB suites,crosswalk_dbg/ws5_empty,"evidence/logs/04-final-bootstrap.log, evidence/ws5/*",PASS
Model GudidDevice,prisma,constraints/migrations,migration chain on empty DB; preflight; constraint tests; ws2/ws4/ws5 DB suites,crosswalk_dbg/ws5_empty,"evidence/logs/04-final-bootstrap.log, evidence/ws5/*",PASS
Model GudidImport,prisma,constraints/migrations,migration chain on empty DB; preflight; constraint tests; ws2/ws4/ws5 DB suites,crosswalk_dbg/ws5_empty,"evidence/logs/04-final-bootstrap.log, evidence/ws5/*",PASS
Model Notification,prisma,constraints/migrations,migration chain on empty DB; preflight; constraint tests; ws2/ws4/ws5 DB suites,crosswalk_dbg/ws5_empty,"evidence/logs/04-final-bootstrap.log, evidence/ws5/*",PASS
Model NotificationPreference,prisma,constraints/migrations,migration chain on empty DB; preflight; constraint tests; ws2/ws4/ws5 DB suites,crosswalk_dbg/ws5_empty,"evidence/logs/04-final-bootstrap.log, evidence/ws5/*",PASS
Model Alert,prisma,constraints/migrations,migration chain on empty DB; preflight; constraint tests; ws2/ws4/ws5 DB suites,crosswalk_dbg/ws5_empty,"evidence/logs/04-final-bootstrap.log, evidence/ws5/*",PASS
Model FeedRun,prisma,constraints/migrations,migration chain on empty DB; preflight; constraint tests; ws2/ws4/ws5 DB suites,crosswalk_dbg/ws5_empty,"evidence/logs/04-final-bootstrap.log, evidence/ws5/*",PASS
Model BenchmarkRun,prisma,constraints/migrations,migration chain on empty DB; preflight; constraint tests; ws2/ws4/ws5 DB suites,crosswalk_dbg/ws5_empty,"evidence/logs/04-final-bootstrap.log, evidence/ws5/*",PASS
Model ModelEval,prisma,constraints/migrations,migration chain on empty DB; preflight; constraint tests; ws2/ws4/ws5 DB suites,crosswalk_dbg/ws5_empty,"evidence/logs/04-final-bootstrap.log, evidence/ws5/*",PASS
Model ApprovalDelegation,prisma,constraints/migrations,migration chain on empty DB; preflight; constraint tests; ws2/ws4/ws5 DB suites,crosswalk_dbg/ws5_empty,"evidence/logs/04-final-bootstrap.log, evidence/ws5/*",PASS
Model AnalyticsSnapshot,prisma,constraints/migrations,migration chain on empty DB; preflight; constraint tests; ws2/ws4/ws5 DB suites,crosswalk_dbg/ws5_empty,"evidence/logs/04-final-bootstrap.log, evidence/ws5/*",PASS
Model PublicAward,prisma,constraints/migrations,migration chain on empty DB; preflight; constraint tests; ws2/ws4/ws5 DB suites,crosswalk_dbg/ws5_empty,"evidence/logs/04-final-bootstrap.log, evidence/ws5/*",PASS
Model IntegrationConfig,prisma,constraints/migrations,migration chain on empty DB; preflight; constraint tests; ws2/ws4/ws5 DB suites,crosswalk_dbg/ws5_empty,"evidence/logs/04-final-bootstrap.log, evidence/ws5/*",PASS
Model IntegrationSyncJob,prisma,constraints/migrations,migration chain on empty DB; preflight; constraint tests; ws2/ws4/ws5 DB suites,crosswalk_dbg/ws5_empty,"evidence/logs/04-final-bootstrap.log, evidence/ws5/*",PASS
Model IntegrationSyncError,prisma,constraints/migrations,migration chain on empty DB; preflight; constraint tests; ws2/ws4/ws5 DB suites,crosswalk_dbg/ws5_empty,"evidence/logs/04-final-bootstrap.log, evidence/ws5/*",PASS
Model IntegrationReviewItem,prisma,constraints/migrations,migration chain on empty DB; preflight; constraint tests; ws2/ws4/ws5 DB suites,crosswalk_dbg/ws5_empty,"evidence/logs/04-final-bootstrap.log, evidence/ws5/*",PASS
Model DocumentExtraction,prisma,constraints/migrations,migration chain on empty DB; preflight; constraint tests; ws2/ws4/ws5 DB suites,crosswalk_dbg/ws5_empty,"evidence/logs/04-final-bootstrap.log, evidence/ws5/*",PASS
Model ExtractedField,prisma,constraints/migrations,migration chain on empty DB; preflight; constraint tests; ws2/ws4/ws5 DB suites,crosswalk_dbg/ws5_empty,"evidence/logs/04-final-bootstrap.log, evidence/ws5/*",PASS
Model IntegrationInboundEvent,prisma,constraints/migrations,migration chain on empty DB; preflight; constraint tests; ws2/ws4/ws5 DB suites,crosswalk_dbg/ws5_empty,"evidence/logs/04-final-bootstrap.log, evidence/ws5/*",PASS
Migration 20260914200000_postgres_baseline,prisma/migrations,apply/rollback,migrate deploy from empty; violating-row fixture; gen-constraints byte-identical,crosswalk_ws5_empty / _viol,"evidence/ws5/migrate-deploy-empty.txt, preflight-violation.txt",PASS
Migration 20260914210000_enterprise_platform,prisma/migrations,apply/rollback,migrate deploy from empty; violating-row fixture; gen-constraints byte-identical,crosswalk_ws5_empty / _viol,"evidence/ws5/migrate-deploy-empty.txt, preflight-violation.txt",PASS
Migration 20260915020000_gudid_library,prisma/migrations,apply/rollback,migrate deploy from empty; violating-row fixture; gen-constraints byte-identical,crosswalk_ws5_empty / _viol,"evidence/ws5/migrate-deploy-empty.txt, preflight-violation.txt",PASS
Migration 20260915210000_widen_pct_columns,prisma/migrations,apply/rollback,migrate deploy from empty; violating-row fixture; gen-constraints byte-identical,crosswalk_ws5_empty / _viol,"evidence/ws5/migrate-deploy-empty.txt, preflight-violation.txt",PASS
Migration 20260915220000_purchase_external_index,prisma/migrations,apply/rollback,migrate deploy from empty; violating-row fixture; gen-constraints byte-identical,crosswalk_ws5_empty / _viol,"evidence/ws5/migrate-deploy-empty.txt, preflight-violation.txt",PASS
Migration 20260917060000_tier1_platform,prisma/migrations,apply/rollback,migrate deploy from empty; violating-row fixture; gen-constraints byte-identical,crosswalk_ws5_empty / _viol,"evidence/ws5/migrate-deploy-empty.txt, preflight-violation.txt",PASS
Migration 20260917120000_tier1_fixes,prisma/migrations,apply/rollback,migrate deploy from empty; violating-row fixture; gen-constraints byte-identical,crosswalk_ws5_empty / _viol,"evidence/ws5/migrate-deploy-empty.txt, preflight-violation.txt",PASS
Migration 20260918000000_tier3_product_scale,prisma/migrations,apply/rollback,migrate deploy from empty; violating-row fixture; gen-constraints byte-identical,crosswalk_ws5_empty / _viol,"evidence/ws5/migrate-deploy-empty.txt, preflight-violation.txt",PASS
Migration 20260918000100_tier3_line_flags,prisma/migrations,apply/rollback,migrate deploy from empty; violating-row fixture; gen-constraints byte-identical,crosswalk_ws5_empty / _viol,"evidence/ws5/migrate-deploy-empty.txt, preflight-violation.txt",PASS
Migration 20260919000000_tier0_break_glass,prisma/migrations,apply/rollback,migrate deploy from empty; violating-row fixture; gen-constraints byte-identical,crosswalk_ws5_empty / _viol,"evidence/ws5/migrate-deploy-empty.txt, preflight-violation.txt",PASS
Migration 20260919000100_tier0_check_constraints,prisma/migrations,apply/rollback,migrate deploy from empty; violating-row fixture; gen-constraints byte-identical,crosswalk_ws5_empty / _viol,"evidence/ws5/migrate-deploy-empty.txt, preflight-violation.txt",PASS
Migration 20260923000000_tier2_integrations,prisma/migrations,apply/rollback,migrate deploy from empty; violating-row fixture; gen-constraints byte-identical,crosswalk_ws5_empty / _viol,"evidence/ws5/migrate-deploy-empty.txt, preflight-violation.txt",PASS
Migration 20260923000001_tier2_account_contacts,prisma/migrations,apply/rollback,migrate deploy from empty; violating-row fixture; gen-constraints byte-identical,crosswalk_ws5_empty / _viol,"evidence/ws5/migrate-deploy-empty.txt, preflight-violation.txt",PASS
Migration 20260923000002_tier2_check_constraints,prisma/migrations,apply/rollback,migrate deploy from empty; violating-row fixture; gen-constraints byte-identical,crosswalk_ws5_empty / _viol,"evidence/ws5/migrate-deploy-empty.txt, preflight-violation.txt",PASS
Migration 20260924000000_match_quality,prisma/migrations,apply/rollback,migrate deploy from empty; violating-row fixture; gen-constraints byte-identical,crosswalk_ws5_empty / _viol,"evidence/ws5/migrate-deploy-empty.txt, preflight-violation.txt",PASS
Job analytics.refresh,pg-boss queue,lifecycle/retry/orphan/heartbeat,"tests/db/ws5-jobs.test.ts, ws1-run, tier1","crosswalk_ws5 (real pg-boss, external worker child)",evidence/ws5/*,PASS
Job integration.sync,pg-boss queue,lifecycle/retry/orphan/heartbeat,"tests/db/ws5-jobs.test.ts, ws1-run, tier1","crosswalk_ws5 (real pg-boss, external worker child)",evidence/ws5/*,PASS
Job alerts.evaluate,pg-boss queue,lifecycle/retry/orphan/heartbeat,"tests/db/ws5-jobs.test.ts, ws1-run, tier1","crosswalk_ws5 (real pg-boss, external worker child)",evidence/ws5/*,PASS
Job retention.sweep,pg-boss queue,lifecycle/retry/orphan/heartbeat,"tests/db/ws5-jobs.test.ts, ws1-run, tier1","crosswalk_ws5 (real pg-boss, external worker child)",evidence/ws5/*,PASS
Job feed.ingest,pg-boss queue,lifecycle/retry/orphan/heartbeat,"tests/db/ws5-jobs.test.ts, ws1-run, tier1","crosswalk_ws5 (real pg-boss, external worker child)",evidence/ws5/*,PASS
Job notify.deliver,pg-boss queue,lifecycle/retry/orphan/heartbeat,"tests/db/ws5-jobs.test.ts, ws1-run, tier1","crosswalk_ws5 (real pg-boss, external worker child)",evidence/ws5/*,PASS
Job request.run,pg-boss queue,lifecycle/retry/orphan/heartbeat,"tests/db/ws5-jobs.test.ts, ws1-run, tier1","crosswalk_ws5 (real pg-boss, external worker child)",evidence/ws5/*,PASS
Job embed.refresh,pg-boss queue,lifecycle/retry/orphan/heartbeat,"tests/db/ws5-jobs.test.ts, ws1-run, tier1","crosswalk_ws5 (real pg-boss, external worker child)",evidence/ws5/*,PASS
Job bids.ingest,pg-boss queue,lifecycle/retry/orphan/heartbeat,"tests/db/ws5-jobs.test.ts, ws1-run, tier1","crosswalk_ws5 (real pg-boss, external worker child)",evidence/ws5/*,PASS
Job gudid.import,pg-boss queue,lifecycle/retry/orphan/heartbeat,"tests/db/ws5-jobs.test.ts, ws1-run, tier1","crosswalk_ws5 (real pg-boss, external worker child)",evidence/ws5/*,PASS
Job gudid.refresh,pg-boss queue,lifecycle/retry/orphan/heartbeat,"tests/db/ws5-jobs.test.ts, ws1-run, tier1","crosswalk_ws5 (real pg-boss, external worker child)",evidence/ws5/*,PASS
Job analytics.refresh,pg-boss queue,lifecycle/retry/orphan/heartbeat,"tests/db/ws5-jobs.test.ts, ws1-run, tier1","crosswalk_ws5 (real pg-boss, external worker child)",evidence/ws5/*,PASS
Job integration.sync,pg-boss queue,lifecycle/retry/orphan/heartbeat,"tests/db/ws5-jobs.test.ts, ws1-run, tier1","crosswalk_ws5 (real pg-boss, external worker child)",evidence/ws5/*,PASS
Job alerts.evaluate,pg-boss queue,lifecycle/retry/orphan/heartbeat,"tests/db/ws5-jobs.test.ts, ws1-run, tier1","crosswalk_ws5 (real pg-boss, external worker child)",evidence/ws5/*,PASS
Job retention.sweep,pg-boss queue,lifecycle/retry/orphan/heartbeat,"tests/db/ws5-jobs.test.ts, ws1-run, tier1","crosswalk_ws5 (real pg-boss, external worker child)",evidence/ws5/*,PASS
Job feed.ingest,pg-boss queue,lifecycle/retry/orphan/heartbeat,"tests/db/ws5-jobs.test.ts, ws1-run, tier1","crosswalk_ws5 (real pg-boss, external worker child)",evidence/ws5/*,PASS
Job notify.deliver,pg-boss queue,lifecycle/retry/orphan/heartbeat,"tests/db/ws5-jobs.test.ts, ws1-run, tier1","crosswalk_ws5 (real pg-boss, external worker child)",evidence/ws5/*,PASS
Job request.run,pg-boss queue,lifecycle/retry/orphan/heartbeat,"tests/db/ws5-jobs.test.ts, ws1-run, tier1","crosswalk_ws5 (real pg-boss, external worker child)",evidence/ws5/*,PASS
Job embed.refresh,pg-boss queue,lifecycle/retry/orphan/heartbeat,"tests/db/ws5-jobs.test.ts, ws1-run, tier1","crosswalk_ws5 (real pg-boss, external worker child)",evidence/ws5/*,PASS
Job bids.ingest,pg-boss queue,lifecycle/retry/orphan/heartbeat,"tests/db/ws5-jobs.test.ts, ws1-run, tier1","crosswalk_ws5 (real pg-boss, external worker child)",evidence/ws5/*,PASS
Job gudid.import,pg-boss queue,lifecycle/retry/orphan/heartbeat,"tests/db/ws5-jobs.test.ts, ws1-run, tier1","crosswalk_ws5 (real pg-boss, external worker child)",evidence/ws5/*,PASS
Job gudid.refresh,pg-boss queue,lifecycle/retry/orphan/heartbeat,"tests/db/ws5-jobs.test.ts, ws1-run, tier1","crosswalk_ws5 (real pg-boss, external worker child)",evidence/ws5/*,PASS
Lib accounts/types.ts,src/lib,unit/db coverage,see workstream sweeps,unit/db,workstream reports §sweep,PASS
Lib analytics/index.ts,src/lib,unit/db coverage,see workstream sweeps,unit/db,workstream reports §sweep,PASS
Lib analytics/snapshots.ts,src/lib,unit/db coverage,see workstream sweeps,unit/db,workstream reports §sweep,PASS
Lib api.ts,src/lib,unit/db coverage,see workstream sweeps,unit/db,workstream reports §sweep,PASS
Lib approvals/delegation.ts,src/lib,unit/db coverage,see workstream sweeps,unit/db,workstream reports §sweep,PASS
Lib approvals/rules.ts,src/lib,unit/db coverage,see workstream sweeps,unit/db,workstream reports §sweep,PASS
Lib approvals/service.ts,src/lib,unit/db coverage,see workstream sweeps,unit/db,workstream reports §sweep,PASS
Lib audit.ts,src/lib,unit/db coverage,see workstream sweeps,unit/db,workstream reports §sweep,PASS
Lib auth/index.ts,src/lib,unit/db coverage,see workstream sweeps,unit/db,workstream reports §sweep,PASS
Lib auth/oidc-page.ts,src/lib,unit/db coverage,see workstream sweeps,unit/db,workstream reports §sweep,PASS
Lib auth/oidc.ts,src/lib,unit/db coverage,see workstream sweeps,unit/db,workstream reports §sweep,PASS
Lib auth/permissions.ts,src/lib,unit/db coverage,see workstream sweeps,unit/db,workstream reports §sweep,PASS
Lib auth/scope.ts,src/lib,unit/db coverage,see workstream sweeps,unit/db,workstream reports §sweep,PASS
Lib branding.ts,src/lib,unit/db coverage,see workstream sweeps,unit/db,workstream reports §sweep,PASS
Lib catalog/cost.ts,src/lib,unit/db coverage,see workstream sweeps,unit/db,workstream reports §sweep,PASS
Lib catalog/fx.ts,src/lib,unit/db coverage,see workstream sweeps,unit/db,workstream reports §sweep,PASS
Lib catalog/size-coverage.ts,src/lib,unit/db coverage,see workstream sweeps,unit/db,workstream reports §sweep,PASS
Lib cfn.ts,src/lib,unit/db coverage,see workstream sweeps,unit/db,workstream reports §sweep,PASS
Lib compliance/index.ts,src/lib,unit/db coverage,see workstream sweeps,unit/db,workstream reports §sweep,PASS
Lib contracts/bundles.ts,src/lib,unit/db coverage,see workstream sweeps,unit/db,workstream reports §sweep,PASS
